a = [
01-50 "Potion of Healing"
26-26 "Bracers of Defense "
27-27 "Brazier of Commanding Fire Elementals "
28-28 "Cape of the Mountebank "
29-29 "Censer of Controlling Air Elementals "
30-30 "Armor, +1 Chain Mail "
31-31 "Armor of Resistance (Chain Mail) "
32-32 "Armor, +1 Chain Shirt "
33-33 "Armor of Resistance (Chain Shirt) "
34-34 "Cloak of Displacement "
35-35 "Cloak of the Bat "
36-36 "Cube of Force "
37-37 "Daern's Instant Fortress "
38-38 "Dagger of Venom "
39-39 "Dimensional Shackles "
40-40 "Dragon Slayer "
41-41 "Elven Chain "
42-42 "Flame Tongue "
43-43 "Gem of Seeing "
44-44 "Giant Slayer "
45-45 "Glamoured Studded Leather "
46-46 "Helm of Teleportation "
47-47 "Horn of Blasting "
48-48 "Horn of Valhalla (Silver or Brass) "
49-49 "Instrument of the Bards (Canaith Mandolin) "
50-50 "Instrument Ofthe Bards (Cli Lyre) "
51-51 "Ioun Stone (Awareness) "
52-52 "Ioun Stone (Protection) "
53-53 "Ioun Stone (Reserve)"
54-54 "Ioun Stone (Sustenance)"
55-55 "Iron Bands of Bilarro"
56-56 "Armor, +1 Leather"
57-57 "Armor of Resistance (Leather)"
58-58 "Mace of Disruption"
59-59 "Mace of Smiting"
60-60 "Mace of Terror"
61-61 "Mantle of Spell Resistance"
62-62 "Necklace of Prayer Beads"
63-63 "Periapt of Proof against Poison"
64-64 "Ring of Animal Influence"
65-65 "Ring of Evasion"
66-66 "Ring of Feather Falling"
67-67 "Ring of Free Action"
68-68 "Ring of Protection"
69-69 "Ring of Resistance"
70-70 "Ring of Spell Storing"
71-71 "Ring of the Ram"
72-72 "Ring of X-Ray Vision"
73-73 "Robe of Eyes"
74-74 "Rod of Rulership"
75-75 "Rod of the Pact Keeper, +2"
76-76 "Rope of Entanglement"
77-77 "Armor, +1 Scale Mail"
78-78 "Armor of Resistance (Scale Mail)"
79-79 "Shield, +2"
80-80 "Shield of Missile Attraction"
81-81 "Staff of Charming"
82-82 "Staff of Healing"
83-83 "Staff of Swarming Insects"
84-84 "Staff of the Woodlands"
85-85 "Staff of Withering"
86-86 "Stone of Controlling Earth Elementals"
87-87 "Sun Blade"
88-88 "Sword of Life Stealing"
89-89 "Sword of Wounding"
90-90 "Tentacle Rod"
91-91 "Vicious Weapon"
92-92 "Wand of Binding"
93-93 "Wand of Enemy Detection"
94-94 "Wand of Fear"
95-95 "Wand of Fireballs"
96-96 "Wand of Lightning Bolts"
97-97 "Wand of Paralysis"
98-98 "Wand of the War Mage, +2"
99-99 "Wand of Wonder"
100-100 "Wings of Flying"
]

h = [
01-10 "Weapon, +3"
11-12 "Amulet of the Planes"
13-14 "Carpet of Flying"
15-16 "Crystal Ball (Very Rare Version)"
17-18 "Ring of Regeneration"
19-20 "Ring of Shooting Stars"
21-22 "Ring of Telekinesis"
23-24 "Robe of Scintillating Colors"
25-26 "Robe of Stars"
27-28 "Rod of Absorption"
29-30 "Rod of Alertness"
31-32 "Rod of Security"
33-34 "Rod of the Pact Keeper, +3"
35-36 "Scimitar of Speed"
37-38 "Shield, +3"
39-40 "Staff of Fire"
41-42 "Staff of Frost"
43-44 "Staff of Power"
45-46 "Staff of Striking"
47-48 "Staff of Thunder and Lightning"
49-50 "Sword of Sharpness"
51-52 "Wand of Polymorph"
53-54 "Wand of the War Mage, +3"
55-55 "Adamantine Armor (Half Plate)"
56-56 "Adamantine Armor (Plate)"
57-57 "Animated Shield"
58-58 "Belt of Fire Giant Strength"
59-59 "Belt of Frost (or Stone) Giant Strength"
60-60 "Armor, + 1 Breastplate"
61-61 "Armor of Resistance (Breastplate)"
62-62 "Candle of Invocation"
63-63 "Armor, +2 Chain Mail"
64-64 "Armor, +2 Chain Shirt"
65-65 "Cloak of Arachnida"
66-66 "Dancing Sword"
67-67 "Demon Armor"
68-68 "Dragon Scale Mail"
69-69 "Dwarven Plate"
70-70 "Dwarven Thrower"
71-71 "Efreeti Bottle"
72-72 "Figurine of Wondrous Power (Obsidian Steed)"
73-73 "Frost Brand"
74-74 "Helm of Brilliance"
75-75 "Horn of Valhalla (Bronze)"
76-76 "Instrument of the Bards (Anstruth Harp)"
77-77 "Ioun Stone (Absorption)"
78-78 "Ioun Stone (Agility)"
79-79 "Ioun Stone (Fortitude)"
80-80 "Ioun Stone (Insight)"
81-81 "Ioun Stone (Intellect)"
82-82 "Ioun Stone (Leadership)"
83-83 "Ioun Stone (Strength)"
84-84 "Armor, +2 Leather"
85-85 "Manual of Bodily Health"
86-86 "Manual of Gainful Exercise"
87-87 "Manual of Golems"
88-88 "Manual of Quickness of Action"
89-89 "Mirror of Life Trapping"
90-90 "Nine Lives Stealer"
91-91 "Oath Bow"
92-92 "Armor, +2 Scale Mail"
93-93 "Spellguard Shield"
94-94 "Armor, +1 Splint"
95-95 "Armor of Resistance (Splint)"
96-96 "Armor, +1 Studded Leather"
97-97 "Armor of Resistance (Studded Leather)"
98-98 "Tome of Clear Thought"
99-99 "Tome of Leadership and Influence"
100-100 "Tome of Understanding"
]

i = [
01-05 "Defender"
06-10 "Hammer of Thunderbolts"
11-15 "Luck Blade"
16-20 "Sword of Answering"
21-23 "Holy Avenger"
24-26 "Ring of Djinni Summoning"
27-29 "Ring of Invisibility"
30-32 "Ring of Spell Turning"
33-35 "Rod of Lordly Might"
36-38 "Staff of the Magi"
39-41 "Vorpal Sword"
42-43 "Belt of Cloud Giant Strength"
44-45 "Armor, +2 Breastplate"
46-47 "Armor, +3 Chain Mail"
48-49 "Armor, +3 Chain Shirt"
50-51 "Cloak of Invisibility"
52-53 "Crystal Ball (Legendary Version)"
54-55 "Armor, +1 Half Plate"
56-57 "Iron Flask"
58-59 "Armor, +3 Leather"
60-61 "Armor, +1 Plate"
62-63 "Robe of the Archmagi"
64-65 "Rod of Resurrection"
66-67 "Armor, +1 Scale Mail"
68-69 "Scarab of Protection"
70-71 "Armor, +2 Splint"
72-73 "Armor, +2 Studded Leather"
74-75 "Well of Many Worlds"
76-76 "Magic Armor (Roll Dl2): 1-2 Armor, +2 Half Plate; 3-4 Armor, +2 Plate; 5-6 Armor, +3 Studded Leather; 7-8 Armor, +3 Breastplate; 9-10 Armor, +3 Splint; 11 Armor, +3 Half Plate; 12 Armor, +3 Plate"
77-77 "Apparatus of Kwalish"
78-78 "Armor of Invulnerability"
79-79 "Belt of Storm Giant Strength"
80-80 "Cubic Gate"
81-81 "Deck of Many Things"
82-82 "Efreeti Chain"
83-83 "Armor of Resistance (Half Plate)"
84-84 "Horn of Valhalla (Iron)"
85-85 "Instrument of the Bards (Ollamh Harp)"
86-86 "Ioun Stone (Greater Absorption)"
87-87 "Ioun Stone (Mastery)"
88-88 "Ioun Stone (Regeneration)"
89-89 "Plate Armor of Etherealness"
90-90 "Plate Armor of Resistance"
91-91 "Ring of Air Elemental Command"
92-92 "Ring of Earth Elemental Command"
93-93 "Ring of Fire Elemental Command"
94-94 "Ring of Three Wishes"
95-95 "Ring of Water Elemental Command"
96-96 "Sphere of Annihilation"
97-97 "Talisman of Pure Good"
98-98 "Talisman of the Sphere"
99-99 "Talisman of Ultimate Evil"
100-100 "Tome of the Stilled Tongue"
]
